Time,I0,mu,Conc,N,P,CO2,dCO2,dN,dP,yield,cumulative_yield,Monod_N,Monod_P,Monod_CO2
17.666666666666664,399.9999999999976,0.0,0.3618648382998922,0.009066776561561834,0.0009580285529716372,-0.00017638486522009847,-0.10017638486522004,-0.0909332234384381,-0.009041971447028365,0.0034092245869438024,1.6987187269548176,0.9967328080872822,0.9897651552855278,0.0
17.708333333333332,207.05523608201833,0.0,0.35848743314242654,0.008982153313653924,0.0009490869531439019,-0.0001747386064780442,-0.10017473860647799,-0.09101784668634601,-0.0090509130468561,0.0033774051574656603,1.7020961321122834,0.996702128518055,0.9896697261983625,0.0
17.75,-5.097501791508613e-12,-0.0,0.3551415504330972,0.008898319882726487,0.0009402288082478922,-0.00017310771281758247,-0.10017310771281754,-0.09110168011727345,-0.00905977119175211,0.003345882709329314,1.7054420148216127,0.9966711618238286,0.9895734167092777,0.0
17.791666666666664,-207.0552360820062,-0.0,0.3518268959623883,0.008815268897154373,0.0009314533393709119,-0.00017149204083128503,-0.10017149204083123,-0.09118473110284556,-0.00906854666062909,0.003314654470708907,1.7087566692923217,0.9966399053356005,0.989476218871496,0.0
17.833333333333332,-399.99999999999665,-0.0,0.34854317826673936,0.008732993054114265,0.0009227597748701166,-0.00016989144845019303,-0.10016989144845015,-0.09126700694588566,-0.009077240225129886,0.0032837176956489575,1.7120403869879708,0.9966083563599009,0.9893781246697981,0.0
17.875,-565.685424949232,-0.0,0.3452901086029165,0.008651485118942532,0.0009141473503046623,-0.00016830579493132456,-0.10016830579493127,-0.09134851488105739,-0.00908585264969534,0.0032530696638229007,1.7152934566517937,0.996576512178574,0.9892791260199953,0.0
17.916666666666664,-692.8203230275502,-0.0,0.3420674009226226,0.008570737924499068,0.0009056153083684854,-0.00016673494084529887,-0.10016673494084524,-0.09142926207550085,-0.009094384691631516,0.003222707680293887,1.7185161643320876,0.9965443700485598,0.9891792147683989,0.0
17.958333333333332,-772.740661031253,-0.0,0.3388747718473448,0.008490744370537076,0.0008971628988237129,-0.00016517874806407608,-0.10016517874806402,-0.09150925562946284,-0.009102837101176289,0.003192629075277811,1.7217087934073654,0.9965119272016711,0.9890783826912868,0.0
18.0,-800.0,-0.0,0.3357119406434363,0.00841149742307873,0.0008887893784346915,-0.00016363707974881137,-0.10016363707974876,-0.0915885025769212,-0.009111210621565311,0.0031628312039085516,1.7248716246112739,0.9964791808443715,0.9889766214943682,0.0
18.041666666666664,-772.7406610312526,-0.0,0.33257862919743086,0.008332990113796662,0.0008804940109026344,-0.00016210980033782248,-0.10016210980033777,-0.09166700988620326,-0.009119505989097368,0.003133311446005405,1.7280049360572793,0.9964461281575492,0.9888739228122435,0.0
18.083333333333332,-692.8203230275551,-0.0,0.3294745619915882,0.008255215539401227,0.0008722760668008764,-0.00016059677553466946,-0.10016059677553461,-0.0917447844605987,-0.009127723933199125,0.003104067205842688,1.731109003263122,0.9964127662962905,0.9887702782078639,0.0
18.125,-565.685424949239,-0.0,0.3263994660796667,0.008178166861033481,0.0008641348235107349,-0.00015909787229634588,-0.1001590978722963,-0.09182183313896644,-0.009135865176489268,0.00307509591192149,1.7341840991750435,0.9963790923896509,0.9886656791719853,0.0
18.166666666666664,-400.00000000000506,-0.0,0.32335307106292316,0.008101837303663836,0.000856069565157968,-0.00015761295882158,-0.10015761295882153,-0.09189816269633609,-0.009143930434842034,0.0030463950167435557,1.737230494191787,0.9963451035404239,0.9885601171226223,0.0
18.208333333333332,-207.05523608201565,-0.0,0.3203351090663359,0.008026220155496307,0.000848079582549827,-0.00015614190453924526,-0.1001561419045392,-0.09197377984450361,-0.009151920417450174,0.0030179619965872827,1.7402484561883744,0.996310796824909,0.988453583404497,0.0
18.25,-3.526982781544377e-12,-0.0,0.31734531471505006,0.007951308767378342,0.0008401641731126953,-0.00015468458009687896,-0.10015468458009683,-0.09204869123262158,-0.009159835826887307,0.0029897943512858017,1.7432382505396602,0.9962761692926759,0.9883460692884866,0.0
18.291666666666664,207.05523608201983,0.0,0.31438342511104295,0.007877096552216144,0.0008323226408303102,-0.0001532408573493081,-0.10015324085734925,-0.09212290344778377,-0.009167677359169691,0.002961889604007134,1.7462001401436673,0.9962412179663293,0.9882375659710675,0.0
